kenalin,kenalkan
dsana,disana
yaoloh,yaallah
lurusin,meluruskan
ktaa,kita
slmnya,salamnya
ayukk,yuk
iiii,ih
bertatto,bertato
sii,si
yooow,ya
pankapan,kapan-kapan
anjaayy,anjay
thun,tahun
ngegantiin,menggantikan
ilang,hilang
kmar,kamar
s*inetr*n,sinetron
megang,memegang
teriak2,teriak-teriak
jilaaaaattt,jilat
gag,enggak
alamii,alami
yawloh,ya allah
haaaaaa,haa
adee,ada
cali,caci
kecantikanga,kecantikannya
bantuanny,bantuannya
gantengnyaaaa,gantengnya
iniehh,ini
"minyak""an",minyak-minyakan
apikkkk,apik
paraa,para
adyem,adem
pengen,pengin
kekginian,seperti ini
kecilll,kecil
heii,hai
nenek2,nenek-nenek
walik,balik
masy,masyarakat
ammin,aamiin
skrnh,sekarang
brooo,bro
gasalah,enggak salah
mimin,admin
fikiran,pikiran
eeq,tai
cpt,cepat
wahhhhhh,wah
juataan,jutaan
jugaakk,juga
daaah,dah
ampuun,ampun
ntah,entah
males,malas
ajjah,saja
dihh,dih
ksukaanmuuu,kesukaanmu
pkoknya,pokoknya
aduuhhhh,aduh
hiduupppp,hidup
kga,tidak
dcintai,dicintai
cobaa,coba
wkwkwkwkwkwkwkkwkwwkwk,wkwk
seindonesiyah,seindonesia
astagaa,astaga
mhn,mohon
gasspoll,gaspol
serem,seram
hiraukn,hiraukan
mata'y,matanya
azekkkk,asik
"diam""",diam-diam
mulutny,mulutnya
nmpk,nampak
ibliss,iblis
hempaass,hempas
maf,maaf
takuttt,takut
gituu,begitu
gada,enggak ada
kubarikan,kuberikan
nasehatin,menasihati
luu,loe
melihara,memelihara
kejuu,keju
krena,karena
lucuuuuuuuu,lucu
taz,atas
alm,almarhum
uwow,wow
kr,kira
ceemen,cemen
testinya,testimoninya
stress,stres
yahhhh,ya
promoo,promo
mngkannya,mangkanya
penasaraaann,penasaran
ktnya,katanya
kenape,kenapa
stidaknya,setidaknya
gilakkk,gila
nahannnn,tahan
smnjak,semenjak
konsul,konsultasi
naggung,menanggung
dikit,sedikit
bnran,benaran
gangguin,mengganggu
anteng,tenang
cnul,cenul
euyyyyy,euy
krpoooo,kepo
ngets,banget
urat2nya,urat-uratnya
tegaar,tegar
mantabs,mantab
bungkuuuuuuuuusss,bungkus
tdur,tidur
gilaaaa,gila
ikh,ih
centilnyaaaaaa,centilnya
siip,sip
dri,dari
isenq,iseng
cinggirnyaaaa,cinggirnya
ngomongin,mengomongkan
benerr,benar
yh,ya
bg,bang
gituhhh,begitu
syp,siapa
cuantek,cantik
ortunya,orang tuanya
ubur2,ubur-ubur
taikk,tai
kaan,kan
nggk,enggak
ladenin,meladeni
cumn,cuma
amiinnnn,aamiin
presidenya,presidennya
